2026-07-22 12:03:37 | INFO | ingestion.embedder | Embedding model initialized successfully.
2026-07-22 12:03:37 | INFO | ingestion.vector_store | Loading vector store from D:\HR-IT-Policy-Assistant\data\chroma_db
2026-07-22 12:03:37 | INFO | ingestion.vector_store | Vector store loaded successfully.
2026-07-22 12:03:37 | INFO | agents.dependencies | Agent dependencies initialized successfully.
2026-07-22 12:03:37 | INFO | agents.chat_service | Running Policy Agent...
2026-07-22 12:03:38 | INFO | httpx | HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-22 12:03:38 | INFO | agents.chat_service | Added 0 source citation(s).
2026-07-22 12:03:38 | INFO | agents.chat_service | Successfully processed query for session 'session_001'.
2026-07-22 12:06:52 | INFO | agents.policy_agent | Initializing Policy Agent...
2026-07-22 12:06:52 | INFO | agents.policy_agent | Policy Agent initialized successfully.
2026-07-22 12:06:52 | INFO | agents.chat_service | Initializing Chat Service...
2026-07-22 12:06:52 | INFO | agents.chat_service | Received query for session 'session_001'.
2026-07-22 12:06:52 | INFO | agents.dependencies | Initializing agent dependencies.
2026-07-22 12:06:52 | INFO | ingestion.embedder | Initializing Cohere embedding model: embed-english-v3.0
2026-07-22 12:06:53 | INFO | ingestion.embedder | Embedding model initialized successfully.
2026-07-22 12:06:53 | INFO | ingestion.vector_store | Loading vector store from D:\HR-IT-Policy-Assistant\data\chroma_db
2026-07-22 12:06:53 | INFO | ingestion.vector_store | Vector store loaded successfully.
2026-07-22 12:06:53 | INFO | agents.dependencies | Agent dependencies initialized successfully.
2026-07-22 12:06:53 | INFO | agents.chat_service | Running Policy Agent...
2026-07-22 12:06:54 | INFO | httpx | HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 400 Bad Request"
2026-07-22 12:06:54 | INFO | httpx | HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 400 Bad Request"
2026-07-22 12:12:36 | INFO | agents.policy_agent | Initializing Policy Agent...
2026-07-22 12:12:36 | INFO | agents.policy_agent | Policy Agent initialized successfully.
2026-07-22 12:12:36 | INFO | agents.chat_service | Initializing Chat Service...
2026-07-22 12:12:36 | INFO | agents.chat_service | Received query for session 'session_001'.
2026-07-22 12:12:36 | INFO | agents.dependencies | Initializing agent dependencies.
2026-07-22 12:12:36 | INFO | ingestion.embedder | Initializing Cohere embedding model: embed-english-v3.0
2026-07-22 12:12:36 | INFO | ingestion.embedder | Embedding model initialized successfully.
2026-07-22 12:12:36 | INFO | ingestion.vector_store | Loading vector store from D:\HR-IT-Policy-Assistant\data\chroma_db
2026-07-22 12:12:36 | INFO | ingestion.vector_store | Vector store loaded successfully.
2026-07-22 12:12:36 | INFO | agents.dependencies | Agent dependencies initialized successfully.
2026-07-22 12:12:36 | INFO | agents.chat_service | Running Policy Agent...
2026-07-22 12:12:37 | INFO | httpx | HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-22 12:12:37 | INFO | agents.chat_service | Added 0 source citation(s).
2026-07-22 12:12:37 | INFO | agents.chat_service | Successfully processed query for session 'session_001'.
2026-07-22 12:37:43 | INFO | agents.policy_agent | Initializing Policy Agent...
2026-07-22 12:37:43 | INFO | agents.policy_agent | Policy Agent initialized successfully.
2026-07-22 12:40:20 | INFO | agents.policy_agent | Initializing Policy Agent...
2026-07-22 12:40:21 | INFO | agents.policy_agent | Policy Agent initialized successfully.
2026-07-22 12:41:17 | INFO | httpx | HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-22 12:41:17 | INFO | agents.tool_registry | Leave Calculator Tool invoked.
2026-07-22 12:41:17 | INFO | utils.audit_logger | TOOL INVOKED: Leave Calculator Tool
2026-07-22 12:42:37 | INFO | httpx | HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-22 12:42:37 | INFO | agents.tool_registry | Completed Months Tool invoked.
2026-07-22 12:42:37 | INFO | utils.audit_logger | TOOL INVOKED: Completed Months Tool
2026-07-22 12:42:37 | INFO | agents.tool_registry | Retriever Tool invoked for query: leave accrual rate
2026-07-22 12:42:37 | INFO | utils.audit_logger | TOOL INVOKED: Policy Retriever Tool
2026-07-22 12:42:37 | INFO | agents.tool_registry | Retriever Tool invoked for query: leave accrual policy
2026-07-22 12:42:37 | INFO | utils.audit_logger | TOOL INVOKED: Policy Retriever Tool
2026-07-22 12:53:25 | INFO | ingestion.embedder | Initializing Cohere embedding model: embed-english-v3.0
2026-07-22 12:53:31 | INFO | ingestion.embedder | Embedding model initialized successfully.
2026-07-22 12:53:31 | INFO | ingestion.vector_store | Loading vector store from D:\HR-IT-Policy-Assistant\data\chroma_db
2026-07-22 12:53:34 | INFO | ingestion.vector_store | Vector store loaded successfully.
2026-07-22 12:53:39 | INFO | ingestion.embedder | Initializing Cohere embedding model: embed-english-v3.0
2026-07-22 12:53:41 | INFO | ingestion.embedder | Embedding model initialized successfully.
2026-07-22 12:53:41 | INFO | ingestion.vector_store | Loading vector store from D:\HR-IT-Policy-Assistant\data\chroma_db
2026-07-22 12:53:41 | INFO | ingestion.vector_store | Vector store loaded successfully.
2026-07-22 12:55:45 | INFO | agents.policy_agent | Initializing Policy Agent...
2026-07-22 12:55:47 | INFO | agents.policy_agent | Policy Agent initialized successfully.
2026-07-22 12:55:47 | INFO | ingestion.embedder | Initializing Cohere embedding model: embed-english-v3.0
2026-07-22 12:55:49 | INFO | ingestion.embedder | Embedding model initialized successfully.
